p,n,mean_mem_mb,mean_time,se_time,N,M,peak_mem_mb,v,mean_chi,instancia,se_chi
1,100,81.77305,1.10503,0.88076,100,51,97.31881713867188,1,19.6,simples_n100_p01%_v1.col,0.24495
3,100,89.35452,1.07829,0.16612,100,155,105.03032684326172,1,21.2,simples_n100_p03%_v1.col,0.2
5,100,97.89221,2.42569,0.37834,100,213,141.34402465820312,1,24.8,simples_n100_p05%_v1.col,0.2
10,100,100.16488,4.05451,0.4686,100,499,131.21438598632812,1,44.6,simples_n100_p10%_v1.col,0.24495
20,100,65.64017,1.30611,0.2752,100,993,94.95890045166016,1,79.0,simples_n100_p20%_v1.col,0.0
30,100,51.52854,0.12952,0.00012,100,1444,51.566017150878906,1,100.0,simples_n100_p30%_v1.col,0.0
40,100,51.57749,0.20667,0.00012,100,1963,51.628517150878906,1,100.0,simples_n100_p40%_v1.col,0.0
50,100,51.71079,0.31122,0.0002,100,2528,51.907432556152344,1,100.0,simples_n100_p50%_v1.col,0.0
60,100,104.77719,0.45835,0.00051,100,2969,104.7896499633789,1,100.0,simples_n100_p60%_v1.col,0.0
70,100,104.75348,0.57635,0.00069,100,3482,104.79199981689453,1,100.0,simples_n100_p70%_v1.col,0.0
80,100,104.76747,0.68423,0.00064,100,3983,104.7924575805664,1,100.0,simples_n100_p80%_v1.col,0.0
90,100,104.75635,0.7444,0.00119,100,4487,104.79383087158203,1,100.0,simples_n100_p90%_v1.col,0.0
