N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
100,1,100,51,1,0.77921,0.53202,simples_n100_p01%_v1.col,19.2,0.2
100,1,100,48,2,0.24958,0.10151,simples_n100_p01%_v2.col,17.2,0.2
100,1,100,43,3,0.09016,0.01704,simples_n100_p01%_v3.col,20.2,0.2
100,1,100,51,4,0.11767,0.02312,simples_n100_p01%_v4.col,19.6,0.4
100,1,100,56,5,0.1654,0.06633,simples_n100_p01%_v5.col,21.8,0.5831
100,3,100,155,1,1.49534,0.35374,simples_n100_p03%_v1.col,20.6,0.24495
100,3,100,154,2,0.94719,0.13178,simples_n100_p03%_v2.col,20.8,0.37417
100,3,100,151,3,1.21396,0.25484,simples_n100_p03%_v3.col,20.8,0.37417
100,3,100,149,4,0.94272,0.06028,simples_n100_p03%_v4.col,20.6,0.4
100,3,100,161,5,0.87505,0.09922,simples_n100_p03%_v5.col,20.8,0.2
100,5,100,213,1,1.5773,0.1027,simples_n100_p05%_v1.col,25.0,0.0
100,5,100,253,2,1.90071,0.21699,simples_n100_p05%_v2.col,27.8,0.2
100,5,100,268,3,1.85659,0.21331,simples_n100_p05%_v3.col,28.8,0.2
100,5,100,219,4,1.51219,0.20847,simples_n100_p05%_v4.col,25.0,0.0
100,5,100,271,5,1.97284,0.29669,simples_n100_p05%_v5.col,28.8,0.2
100,10,100,499,1,3.41544,0.40856,simples_n100_p10%_v1.col,44.4,0.24495
100,10,100,493,2,3.7929,0.96661,simples_n100_p10%_v2.col,43.6,0.24495
100,10,100,548,3,2.47547,0.34962,simples_n100_p10%_v3.col,47.4,0.24495
100,10,100,520,4,3.3137,0.42796,simples_n100_p10%_v4.col,46.0,0.31623
100,10,100,513,5,4.25018,1.18589,simples_n100_p10%_v5.col,45.2,0.37417
100,20,100,993,1,0.91249,0.11784,simples_n100_p20%_v1.col,79.0,0.0
100,20,100,992,2,0.67974,0.06734,simples_n100_p20%_v2.col,79.0,0.0
100,20,100,991,4,0.88856,0.16908,simples_n100_p20%_v4.col,80.6,0.24495
100,30,100,1444,1,0.1221,0.00238,simples_n100_p30%_v1.col,100.0,0.0
100,30,100,1480,2,0.13237,0.0013,simples_n100_p30%_v2.col,100.0,0.0
100,30,100,1454,3,0.14105,0.01212,simples_n100_p30%_v3.col,99.0,0.0
100,30,100,1455,4,0.13172,0.0043,simples_n100_p30%_v4.col,99.0,0.0
100,30,100,1472,5,0.12859,0.00201,simples_n100_p30%_v5.col,100.0,0.0
100,40,100,1963,1,0.20342,0.00255,simples_n100_p40%_v1.col,100.0,0.0
100,40,100,1948,2,0.1981,0.00077,simples_n100_p40%_v2.col,100.0,0.0
100,40,100,1980,3,0.20773,0.00276,simples_n100_p40%_v3.col,100.0,0.0
100,40,100,1970,4,0.20371,0.00129,simples_n100_p40%_v4.col,100.0,0.0
100,40,100,1946,5,0.19495,0.00178,simples_n100_p40%_v5.col,100.0,0.0
100,50,100,2528,1,0.30438,0.005,simples_n100_p50%_v1.col,100.0,0.0
100,50,100,2487,2,0.27607,0.01156,simples_n100_p50%_v2.col,100.0,0.0
100,50,100,2456,3,0.27225,0.00655,simples_n100_p50%_v3.col,100.0,0.0
100,50,100,2556,4,0.26601,0.00726,simples_n100_p50%_v4.col,100.0,0.0
100,50,100,2507,5,0.29737,0.00375,simples_n100_p50%_v5.col,100.0,0.0
100,60,100,2969,1,0.35803,0.01179,simples_n100_p60%_v1.col,100.0,0.0
100,60,100,3005,2,0.34492,0.01539,simples_n100_p60%_v2.col,100.0,0.0
100,60,100,2954,3,0.38733,0.05522,simples_n100_p60%_v3.col,100.0,0.0
100,60,100,2967,4,0.36244,0.02501,simples_n100_p60%_v4.col,100.0,0.0
100,60,100,3018,5,0.45979,0.01459,simples_n100_p60%_v5.col,100.0,0.0
100,70,100,3482,1,0.54033,0.00708,simples_n100_p70%_v1.col,100.0,0.0
100,70,100,3500,2,0.53964,0.00131,simples_n100_p70%_v2.col,100.0,0.0
100,70,100,3429,3,0.51991,0.00598,simples_n100_p70%_v3.col,100.0,0.0
100,70,100,3413,4,0.51348,0.00372,simples_n100_p70%_v4.col,100.0,0.0
100,70,100,3490,5,0.53007,0.00449,simples_n100_p70%_v5.col,100.0,0.0
100,80,100,3983,1,0.63332,0.00763,simples_n100_p80%_v1.col,100.0,0.0
100,80,100,3972,2,0.63929,0.00237,simples_n100_p80%_v2.col,100.0,0.0
100,80,100,3983,3,0.64718,0.00734,simples_n100_p80%_v3.col,100.0,0.0
100,80,100,3941,4,0.57919,0.0103,simples_n100_p80%_v4.col,100.0,0.0
100,80,100,3970,5,0.61088,0.02004,simples_n100_p80%_v5.col,100.0,0.0
100,90,100,4487,1,0.63169,0.02295,simples_n100_p90%_v1.col,100.0,0.0
100,90,100,4447,2,0.67811,0.01163,simples_n100_p90%_v2.col,100.0,0.0
100,90,100,4482,3,0.72421,0.06246,simples_n100_p90%_v3.col,100.0,0.0
100,90,100,4505,4,0.7749,0.02663,simples_n100_p90%_v4.col,100.0,0.0
100,90,100,4468,5,0.65016,0.01839,simples_n100_p90%_v5.col,100.0,0.0
