mean_fit_t,mean_mut_t,n_config,mean_cross_t,mean_init_t,v_config,mean_sel_t,instancia,mean_upd_t,p_config
0.29895,0.0,500,0.0,0.44197,1,0.0,simples_n500_p01%_v1.col,0.0,1
0.29558,0.0,500,0.0,0.29653,2,0.0,simples_n500_p01%_v2.col,0.0,1
0.2667,0.0,500,0.0,0.26823,3,0.0,simples_n500_p01%_v3.col,0.0,1
0.36658,0.0,500,0.0,0.36816,4,0.0,simples_n500_p01%_v4.col,0.0,1
0.27343,0.0,500,0.0,0.27466,5,0.0,simples_n500_p01%_v5.col,0.0,1
0.41319,0.0,500,0.0,0.41457,1,0.0,simples_n500_p03%_v1.col,0.0,3
0.41813,0.0,500,0.0,0.41946,2,0.0,simples_n500_p03%_v2.col,0.0,3
0.41615,0.0,500,0.0,0.4171,3,0.0,simples_n500_p03%_v3.col,0.0,3
0.41346,0.0,500,0.0,0.41519,4,0.0,simples_n500_p03%_v4.col,0.0,3
0.41293,0.0,500,0.0,0.415,5,0.0,simples_n500_p03%_v5.col,0.0,3
0.72543,0.0,500,0.0,0.72639,1,0.0,simples_n500_p05%_v1.col,0.0,5
0.62566,0.0,500,0.0,0.62704,2,0.0,simples_n500_p05%_v2.col,0.0,5
0.63378,0.0,500,0.0,0.63516,3,0.0,simples_n500_p05%_v3.col,0.0,5
0.62675,0.0,500,0.0,0.62855,4,0.0,simples_n500_p05%_v4.col,0.0,5
0.63337,0.0,500,0.0,0.63471,5,0.0,simples_n500_p05%_v5.col,0.0,5
1.81266,0.0,500,0.0,1.81439,1,0.0,simples_n500_p10%_v1.col,0.0,10
1.70686,0.0,500,0.0,1.70854,2,0.0,simples_n500_p10%_v2.col,0.0,10
1.68951,0.0,500,0.0,1.69202,3,0.0,simples_n500_p10%_v3.col,0.0,10
1.67812,0.0,500,0.0,1.67996,4,0.0,simples_n500_p10%_v4.col,0.0,10
1.84808,0.0,500,0.0,1.85041,5,0.0,simples_n500_p10%_v5.col,0.0,10
5.28494,0.0,500,0.0,5.28696,1,0.0,simples_n500_p20%_v1.col,0.0,20
5.17932,0.0,500,0.0,5.18173,2,0.0,simples_n500_p20%_v2.col,0.0,20
5.25559,0.0,500,0.0,5.25916,3,0.0,simples_n500_p20%_v3.col,0.0,20
5.42879,0.0,500,0.0,5.43015,4,0.0,simples_n500_p20%_v4.col,0.0,20
5.27671,0.0,500,0.0,5.2788,5,0.0,simples_n500_p20%_v5.col,0.0,20
11.75533,0.0,500,0.0,11.75973,1,0.0,simples_n500_p30%_v1.col,0.0,30
11.93868,0.0,500,0.0,11.94548,2,0.0,simples_n500_p30%_v2.col,0.0,30
12.56398,0.0,500,0.0,12.56893,3,0.0,simples_n500_p30%_v3.col,0.0,30
12.80027,0.0,500,0.0,12.80215,4,0.0,simples_n500_p30%_v4.col,0.0,30
14.32027,0.0,500,0.0,14.32355,5,0.0,simples_n500_p30%_v5.col,0.0,30
23.43999,0.0,500,0.0,23.44357,1,0.0,simples_n500_p40%_v1.col,0.0,40
25.91993,0.0,500,0.0,25.9226,2,0.0,simples_n500_p40%_v2.col,0.0,40
30.16706,0.0,500,0.0,30.1698,3,0.0,simples_n500_p40%_v3.col,0.0,40
36.5572,0.0,500,0.0,36.5607,4,0.0,simples_n500_p40%_v4.col,0.0,40
44.97588,0.0,500,0.0,44.98062,5,0.0,simples_n500_p40%_v5.col,0.0,40
67.62939,0.0,500,0.0,67.6354,1,0.0,simples_n500_p50%_v1.col,0.0,50
73.10353,0.0,500,0.0,73.10974,2,0.0,simples_n500_p50%_v2.col,0.0,50
73.12953,0.0,500,0.0,73.13802,3,0.0,simples_n500_p50%_v3.col,0.0,50
73.01848,0.0,500,0.0,73.02471,4,0.0,simples_n500_p50%_v4.col,0.0,50
74.48153,0.0,500,0.0,74.48646,5,0.0,simples_n500_p50%_v5.col,0.0,50
105.78349,0.0,500,0.0,105.78976,1,0.0,simples_n500_p60%_v1.col,0.0,60
106.51089,0.0,500,0.0,106.51877,2,0.0,simples_n500_p60%_v2.col,0.0,60
102.57262,0.0,500,0.0,102.58318,3,0.0,simples_n500_p60%_v3.col,0.0,60
108.49129,0.0,500,0.0,108.50438,4,0.0,simples_n500_p60%_v4.col,0.0,60
107.44242,0.0,500,0.0,107.45249,5,0.0,simples_n500_p60%_v5.col,0.0,60
145.50753,0.0,500,0.0,145.51403,1,0.0,simples_n500_p70%_v1.col,0.0,70
138.55338,0.0,500,0.0,138.561,2,0.0,simples_n500_p70%_v2.col,0.0,70
143.07707,0.0,500,0.0,143.0846,3,0.0,simples_n500_p70%_v3.col,0.0,70
142.03857,0.0,500,0.0,142.0488,4,0.0,simples_n500_p70%_v4.col,0.0,70
134.51474,0.0,500,0.0,134.51969,5,0.0,simples_n500_p70%_v5.col,0.0,70
176.57118,0.0,500,0.0,176.57741,1,0.0,simples_n500_p80%_v1.col,0.0,80
182.54141,0.0,500,0.0,182.5501,2,0.0,simples_n500_p80%_v2.col,0.0,80
177.82813,0.0,500,0.0,177.836,3,0.0,simples_n500_p80%_v3.col,0.0,80
174.20013,0.0,500,0.0,174.20657,4,0.0,simples_n500_p80%_v4.col,0.0,80
177.88156,0.0,500,0.0,177.89043,5,0.0,simples_n500_p80%_v5.col,0.0,80
205.36059,0.0,500,0.0,205.36488,1,0.0,simples_n500_p90%_v1.col,0.0,90
212.47194,0.0,500,0.0,212.48038,2,0.0,simples_n500_p90%_v2.col,0.0,90
203.33176,0.0,500,0.0,203.33698,3,0.0,simples_n500_p90%_v3.col,0.0,90
196.9347,0.0,500,0.0,196.94292,4,0.0,simples_n500_p90%_v4.col,0.0,90
200.66546,0.0,500,0.0,200.67148,5,0.0,simples_n500_p90%_v5.col,0.0,90
